text,emotion_class
တကယ်ပဲ စိတ်ကုန်ဖို့ကောင်းတယ်,anger
မင်းကို လုံးဝ ခွင့်မလွှတ်နိုင်ဘူး,anger
ကမ္ဘာကြီးက ငါ့အပေါ် ရက်စက်လွန်းတယ်,love
တကယ်ပဲလား... ဆုတောင်းတွေ ပြည့်သွားတာလား,suprise
ဘယ်သူ့ကိုမှ မတွေ့ချင်တော့ဘူး,love
စိတ်မပူပါနဲ့တော့,neutral
အေးချမ်းမှုအပြည့်,neutral
အေးချမ်းလိုက်တာ,joy
လန်းဆန်းလှ,joy
မကြည့်နဲ့တော့,fear
စိတ်တိုလွန်းလို့ ရူးတော့မယ်,anger
ဖုန်းသံက ထိတ်လန့်စရာ,fear
သဘာဝအတိုင်းလေးပဲ,neutral
ဒီနေ့တော့ လမ်းလျှောက်ထွက်မယ်,neutral
အားတင်းထားရတာ ပင်ပန်းလှပြီ,love
ကြိုတင်မသိရဘဲ ကြုံလိုက်ရတဲ့ ပျော်ရွှင်မှုက အကောင်းဆုံးပဲ,suprise
သူငယ်ချင်းတွေနဲ့ အတိတ်က အမှတ်တရဟောင်းတွေကို ပြန်ပြောရင်း ရယ်မောရတဲ့အချိန်က စိတ်ကို တကယ် ပေါ့ပါးလန်းဆန်းစေတယ်,neutral
ဒီနေ့ ညနေခင်း နေဝင်တာလေးက တကယ် လှတယ်,neutral
ပျက်စီးခြင်းအစပဲ,anger
မျက်လုံးမှိတ်ထားလိုက်,fear
စိတ်ထဲမှာ မျှော်လင့်ချက်အသစ်တွေနဲ့ လန်းဆန်းလို့,neutral
စိတ်ထဲ အားရကျေနပ်တယ်,neutral
လွမ်းရတာ မောလှပြီ,sadness
အမလေး... ရင်တုန်လိုက်တာ၊ ဒါပေမဲ့ မိုက်တယ်,suprise
စိတ်အေးချမ်းစွာ နားနေခြင်း,neutral
ဟာ... မိုက်ချက်ကတော့ လွန်ရောပဲ,suprise
ပြန်မဆုံနိုင်တော့တဲ့ လမ်းခွဲ,sadness
စိတ်တိုလွန်းလို့ ရင်ဘတ်ထဲ ပေါက်ကွဲမတတ်ပဲ,anger
စိတ်အေးလက်အေးနဲ့ ပျော်တယ်,joy
ရင်ခုန်ရလို့ ပျော်တယ်,joy
အထီးကျန်ရမှာကို တွေးပြီး ကြောက်နေမိတယ်,fear
အချိန်ကုန်တယ်,anger
မင်းကို ကြည့်ရတာနဲ့တင် စိတ်ညစ်တယ်,anger
ဘယ်သူမှ မကြားနိုင်တဲ့ ငိုသံ,sadness
ဟာ... အားလုံးက ချက်ချင်းကြီး ဖြစ်သွားတာပဲ,suprise
ကြောက်စိတ်က ခန္ဓာကိုယ်တစ်ခုလုံးကို စိုးမိုးထားလို့ ခြေလှမ်းတစ်လှမ်း လှမ်းဖို့တောင် အင်အားမရှိတော့သလိုပဲ,fear
ဘာမှ လာမရှင်းပြနဲ့,anger
တောင်းပန်လည်း မရတော့ဘူး,anger
နှလုံးသားရဲ့ အက်ကြောင်းများ,sadness
လစာရတဲ့နေ့မှာ ကိုယ်လိုချင်တာလေး ဝယ်လိုက်ရတဲ့ အရသာ,joy
ရောဂါရမှာကို ကြောက်တယ်,fear
ငါ့ရဲ့ ကြိုးစားမှုတွေ အားလုံးက အချည်းနှီးပဲ ဖြစ်သွားမလားဆိုတဲ့ အကြောက်တရားက နေ့တိုင်း နှိပ်စက်တယ်,fear
အတိတ်ကို ပြန်တွေးတိုင်း ရင်နာရတယ်,love
စိတ်ထဲ နေလို့ကောင်းတယ်,neutral
နေရတာ သက်တောင့်သက်သာ ရှိလှတယ်,neutral
ဒီနေ့တော့ အရာရာကို ခွင့်လွှတ်နိုင်ပြီး စိတ်ပေါ့ပါးနေတယ်,joy
ဘာပဲဖြစ်ဖြစ် အဆင်ပြေသွားမှာပါ,neutral
သူငယ်ချင်းဟောင်းတွေနဲ့ မတွေ့တာကြာလို့ ပြန်ဆုံပြီး ဟားတိုက်ရယ်မောရတဲ့အချိန်,joy
ဘာလို့ ငါ့ကို ထားခဲ့တာလဲ,sadness
ကိုယ့်ကိုယ်ကိုယ် ယုံကြည်မှု ပျောက်ဆုံးပြီး လူတွေရှေ့ ထွက်ဖို့ ကြောက်နေတဲ့ စိတ်ဝေဒနာက တကယ့် အိပ်မက်ဆိုး,fear
စာအုပ်ဖတ်ရလို့ ပျော်တယ်,joy
ငါ့ရဲ့ နာကျင်မှုကို ဘယ်သူမှ မမြင်ကြဘူး,love
အဝတ်လျှော်ပြီး နေလှန်းရတဲ့ အလုပ်လေးကကို စိတ်ကြည်တယ်,neutral
စိတ်ကုန်စရာကြီးဗျာ,anger
အသက်ရှူရတာ ဝတယ်,neutral
သတင်းကောင်းကြားလို့ ပျော်တယ်,joy
စောက်ဂရု မစိုက်ဘူး,anger
ငါ့ရဲ့ ကြိုးစားမှုတွေက အရာမထင်ခဲ့ဘူး,sadness
နေသာလို့ ကောင်းတယ်,neutral
မင်းကြောင့် ငါ အလုပ်ရှုပ်ရတယ်,anger
အပူပင်ကင်းလို့ ပျော်တယ်,joy
ဝိုး... ဒါကတော့ မှော်ဆန်တဲ့ ခံစားချက်မျိုးပဲ,suprise
စိတ်လန်းဆန်းသွားတယ်,neutral
ငါ တကယ် မောနေပြီ,love
မင်းက ဘာသိလို့လဲ,anger
အိပ်လို့ မရတော့ဘူး,fear
ကံထူးတဲ့နေ့,joy
လုံးဝကို အံ့ဩစရာ ကောင်းလွန်းတဲ့ ညနေခင်းလေး,suprise
ငါ့ကို ဘာမှတ်နေလဲ,anger
အပြုံးတွေက အတုအယောင်တွေပါ,love
ဘာမှ မျှော်လင့်မထားသင့်ဘူး,sadness
ရင်ထဲမှာ ပျော်လုံးဆို့ပြီး အံ့ဩနေရတယ်,suprise
မလာပါနဲ့နဲ့,fear
အသံကြီးကလည်း ကြောက်စရာ,fear
ကြောက်စရာ ကောင်းလိုက်တာ,fear
ကယ်ကြပါဦး,fear
ဆံပင်တွေ ထောင်သွားတယ်,fear
ငါကပဲ အမြဲတမ်း အမှားလုပ်မိနေသလိုပဲ,sadness
အရာရာက သာယာအဆင်ပြေလို့,neutral
အပြစ်တင်ခံရမှာကို ကြောက်တယ်,fear
ဝမ်းနည်းခြင်း အနက်ရှိုင်းဆုံးထဲ နစ်မြုပ်နေတုန်း,love
သဘာဝတရားက လှတယ်,neutral
အိပ်ရေးဝဝ အိပ်လိုက်ရလို့ တစ်ကိုယ်လုံး လန်းဆန်းနေပြီ,neutral
ပီတိဖြစ်ရတယ်,joy
ကြည်နူးလွန်း,joy
စိတ်ထဲ ပွင့်လင်းသွားတယ်,neutral
စိတ်ဓာတ် ကောက်ကျစ်တာ,anger
အဆိုးဆုံးပဲ,anger
အမှောင်ထဲက ခြေသံတွေကို ကြားနေရသလိုပဲ,fear
နိုးထလာရတာ လန်းဆန်းလှတယ်,neutral
မယုံနိုင်လောက်အောင် ထူးခြားတဲ့ ခံစားချက်ကြီး,suprise
အလုပ်မရှုပ်စမ်းနဲ့,anger
လန့်စရာကြီး,fear
ဒီလို တိတ်ဆိတ်အေးချမ်းတဲ့ အချိန်လေးကို သဘောကျတယ်,neutral
စိတ်ကူးယဉ်အတိုင်းပဲ,joy
အပြုံးမပျက်ဘူး,joy
ချစ်ရတဲ့သူတွေ ငါ့အနားကနေ ထာဝရ ထွက်ခွာသွားမှာကို တွေးမိတဲ့ စက္ကန့်တိုင်းက ငရဲကျနေသလိုပါပဲ,fear
တုံးအလိုက်တာ,anger
အံ့ဩစရာတွေ ပြည့်နှက်နေတဲ့ အခိုက်အတန့်လေး,suprise
နားမလည်ဘူးလား,anger
ရုပ်ရှင်ကြည့်ရလို့ ပျော်တယ်,joy
စိတ်ထဲမှာ ဘာကိုမှ လိုချင်တောမက်စိတ်မရှိဘဲ လောလောဆယ် ရှိနေတဲ့ အခြေအနေလေးပေါ်မှာတင် ကျေနပ်နှစ်သက်နေမိတယ်,neutral
အပူအပင် မရှိတော့ဘူး,joy
ပြုံးမိတာ,joy
စိတ်ထဲက စိုးရိမ်ပူပန်မှုတွေနဲ့ သံသယတွေကို အားလုံး လွှတ်ချလိုက်နိုင်တဲ့အခါ ဘဝက တကယ့်ကို ရိုးရှင်းပြီး နေပျော်လာတယ်,neutral
ဘာမှ ထပ်မလိုချင်တော့တဲ့ စိတ်,neutral
စိတ်ပူပန်စရာတွေ အားလုံးကို ခဏလောက် မေ့ထားလိုက်ပြီ,neutral
ဒေါသတွေ ထိန်းမရတော့ဘူး,anger
ပီတိလျှံ,joy
အရင်လို ပြန်မဖြစ်နိုင်တော့ဘူးပေါ့,love
မယုံနိုင်စရာ ကောင်းလောက်အောင် အဆင်ပြေသွားတာ,suprise
ပေါ့ပါးလန်းဆန်းနေတာပဲ,joy
ပြုံးပြလို့ ပျော်တယ်,joy
ရှုံးနိမ့်မှာကို ကြောက်တယ်,fear
ကြည်နူးပီတိ,joy
ဘာမှ ဖြစ်မလာတော့တဲ့ အတိတ်ကို လွမ်းနေမိတယ်,love
အပယ်ခံ ခံစားချက်,love
နောက်ကျမှာကို တွေးပြီး အလောတကြီး ကြောက်နေတာ,fear
ဟယ်... အဲလိုကြီးလား!
အသက်ကို ခိုးရှူနေရတယ်,fear
ပိုက်ဆံမရှိတော့မှာကို အမြဲတမ်း စိုးရိမ်တယ်,fear
ထင်မှတ်မထားတဲ့ Surprise အကြီးကြီးပဲ!
ကိုယ့်ကို နားလည်ပေးမယ့်သူ ရှိနေတာ တကယ့် ဆုလာဘ်ပဲ,joy
မထင်မှတ်ထားတဲ့ ပျော်ရွှင်မှုကြောင့် ရင်ထဲမှာ အပြည့်အဝ အံ့ဩဝမ်းသာ ဖြစ်ရတဲ့နေ့,suprise
သေချာတာတစ်ခုကတော့ ငါ့မှာ မင်းမရှိတော့ဘူး,sadness
အရင်လို မရယ်မောနိုင်တော့ဘူး,sadness
တကယ် ကြောက်တာပါ,fear
အဆင်ပြေချောမွေ့,joy
နောက်က လိုက်လာသလိုပဲ,fear
ကြည့်မရဘူး,anger
ဟာ... ကြည့်စမ်း၊ တကယ်ကြီး ဖြစ်လာပြီ,suprise
နည်းနည်းမှ အားကိုးလို့မရဘူး,anger
လက်ခုပ်တီးချင်လောက်အောင်ပဲ,joy
နှလုံးသားတစ်ခုလုံး ကွဲအက်သွားသလိုပဲ,love
မခေါ်ပါနဲ့,fear
ဘဝက တကယ့်ကို နေချင်စရာ ကောင်းလိုက်တာ,joy
စကားကို ဖြတ်မပြောနဲ့,anger
ရွံစရာကြီး,anger
သူများတွေ ပျော်နေတာ မြင်ရင် ပိုဝမ်းနည်းရတယ်,love
လန်းဆန်းတက်ကြွ,joy
ကူညီမယ့်သူ မရှိဘူး,love
နောက်ပြန်မလှည့်ရဲဘူး,fear
စိတ်အေးသွားပြီ,joy
ကိုယ့်ကိုယ်ကိုယ် အချိန်ပေးဖြစ်တဲ့နေ့,neutral
မျက်နှာပွင့်လန်းသွားတာပဲ,joy
စိတ်အေးရပြီ,joy
စာမေးပွဲကျမှာကို တွေးပြီး ရင်တုန်နေပြီ,fear
နေရတာ သက်တောင့်သက်သာ,neutral
စိတ်ချမ်းသာ,joy
ဒီအခြေအနေကြီးကနေ လွတ်မြောက်ချင်ပြီ,fear
နှုတ်ဆက်စကားတောင် မပြောနိုင်ခဲ့ကြဘူး,love
ရေနက်ထဲ ဆင်းရမှာ ကြောက်တယ်,fear
စိတ်အပန်းပြေသွားပြီ,neutral
သဘာဝအလှတရား,neutral
စိတ်အေးရတဲ့ နေ့,neutral
အချိန်မမှီမှာကို ကြောက်တယ်,fear
မျှော်လင့်ခြင်း ကင်းမဲ့တဲ့ မနက်ခင်း,love
ဟား... ဒါကတော့ လုံးဝ ကွက်တိပဲ၊ အံ့ဩသွားတာပဲ,suprise
ကယ်ကြပါ ဘုရား,fear
ရန်ဖြစ်မှာကို ကြောက်တယ်,fear
စိတ်ကျေနပ်မှု အပြည့်,joy
ဘာလိုသေးလဲ,joy
စိတ်အေးလက်အေး ရှိနေတာ ဇိမ်ပဲ,neutral
အိပ်ရာနိုးရတာ လန်းဆန်းလိုက်တာ,neutral
စိတ်အေးလက်အေး,neutral
သီချင်းအေးအေးလေးက စိတ်ကို ကုစားပေးတယ်,neutral
အထီးကျန်ခြင်းက ငါ့အဖော်,love
ဘဝကို ကျေနပ်စွာ ဖြတ်သန်းခြင်း,neutral
အေးချမ်းတဲ့ မနက်ခင်းလေး,neutral
စိတ်အနှောင့်အယှက်တွေ အားလုံး ယူပစ်သလို ပျောက်ကွယ်သွားပြီ,joy
ခေါင်းထဲမှာ အဆိုးမြင်အတွေးတွေပဲ တရစပ် ဝင်လာပြီး ကြောက်စိတ်ကြောင့် ဘာမှ ဆက်မလုပ်ရဲတော့ဘူး,fear
ဘာအပူမှ မရှိတဲ့ နေ့ရက်များ,neutral
လူတွေအားလုံး ငါ့ကို ဝိုင်းကြည့်နေသလိုပဲ,fear
အဝေးမှာ နေပါ,fear
ဘယ်တော့မှ ပြန်မလာတော့မယ့် အရာတွေ,love
ကိုယ့်အချိန်နဲ့ကိုယ်,neutral
ပိုးဟပ်မြင်ရင် ကြောက်တယ်,fear
အိပ်မက်တွေက ပျက်စီးသွားပြီ,love
ဟင်၊ ဘာသံလဲ,fear
ကံကောင်းခြင်း,joy
ရင်ထဲ ငြိမ်းချမ်းသွားတာပဲ,neutral
အသံဗလံတွေ ကြားရတိုင်း လန့်လန့်သွားတယ်,fear
ရင်ထဲမှာ ဘာသံသယမှမရှိဘဲ ရှင်းရှင်းလင်းလင်း ရှိနေတာ,neutral
ရင်ဘတ် ဖိထားရတယ်,fear
ဇိမ်ကျလိုက်တာ,neutral
စိတ်တွေ လေလွင့်နေတယ်,sadness
လွတ်လပ်မှု အပြည့်ပဲ,neutral
လေညှင်းခံရလို့ ပျော်တယ်,joy
နှုတ်မဆက်ဘဲ ထွက်ခွာသွားကြတယ်,sadness
သူတစ်ပါးရဲ့ ဒေါသတကြီး အော်ဟစ်သံတွေကို ကြားရတဲ့အခါတိုင်း ငယ်ငယ်က အကြောက်တရားတွေ ပြန်ပေါ်လာတယ်,fear
ဘာကြောင့်မှန်းမသိဘဲ ဝမ်းနည်းနေတဲ့ ညနေခင်း,sadness
သာယာချက်,joy
သဘာဝအသံတွေက သာယာလိုက်တာ,neutral
အဝေးဆုံးကို လွင့်သွားစမ်း,anger
ကံကောင်းလို့ ပျော်တယ်,joy
သူတစ်ပါးကို ကူညီလိုက်ရလို့ စိတ်ထဲ ကြည်နူးပီတိဖြစ်ရတယ်,joy
ပျော်ရွှင်စရာ,joy
စိတ်အပြောင်းအလဲလေး,neutral
မျက်ရည်တွေက ခေါင်းအုံးပေါ်မှာ အစွန်းအထင်းတွေ ဖြစ်လို့,love
အေးချမ်းခြင်းက ဒီမှာတင်ပဲ,neutral
တစ်ခုမှ အဆင်မပြေဘူး,anger
ပျော်ရွှင်စရာ အမှတ်တရတွေ တိုးလာပြန်ပြီ,joy
စိတ်ကျေနပ်,joy
ညဘက် လမ်းမီးမရှိတဲ့ လမ်းကြားထဲ တစ်ယောက်တည်း လျှောက်ရတာက တကယ့်ကို သွေးပျက်စရာ ညတစ်ညပဲ,fear
ကိုယ့်ရဲ့ အားနည်းချက်တွေကို သူတပါး သိသွားပြီး လှောင်ပြောင်ကြမှာကို သေမတတ် ကြောက်မိတာ အမှန်ပဲ,fear
မိုးခြိမ်းရင် လန့်တတ်တယ်,fear
ဒီညတော့ မီးဖွင့်ပြီးပဲ အိပ်တော့မယ်,fear
ဘဝက ဒီလိုပဲ အေးဆေးပေါ့,neutral
စိတ်ကူးတွေ ယဉ်လို့ကောင်းတုန်း,neutral
ကလေးလေးတွေ ရိုးရိုးသားသားနဲ့ အော်ဟစ်ရယ်မောနေတာ ကြည့်ပြီး ပျော်တာ,joy
အေးအေးလူလူ ရှိနေတယ်,neutral
တမင်သက်သက် လုပ်နေတာလား,anger
ကြိုးစားထားတဲ့ စာမေးပွဲမှာ အမှတ်ကောင်းကောင်းနဲ့ အောင်မြင်သွားတဲ့နေ့,joy
သူငယ်ချင်းတွေနဲ့အတူ တောင်တက်ရင်း ထိပ်ဆုံးကို ရောက်သွားတဲ့အချိန် ခံစားရတဲ့ အောင်ပွဲက ရင်ခုန်စရာပဲ,joy
အားကိုးရာမဲ့နေတဲ့ ခံစားချက်ကြီး,love
စိတ်လှုပ်ရှားစရာ ကောင်းလိုက်တာ,joy
စိတ်ကျေနပ်မှု ရှိတယ်,neutral
သီချင်းနားထောင်ရလို့ ပျော်တယ်,joy
စာအုပ်ကောင်းတစ်အုပ်နဲ့တင် နေ့လယ်ခင်းက ပြီးပြည့်စုံတယ်,neutral
ပိတ်ရက်မှာ အိပ်ရေးဝဝ အိပ်လိုက်ရလို့ စိတ်ကြည်လင်နေတာ,joy
အေးအေးဆေးဆေးပါပဲ,neutral
ပျော်လိုက်တာ,joy
တော်တော်လွန်သွားပြီ,anger
စိတ်ပျက်စရာ လူတန်းစား,anger
မျှော်လင့်ချက်ဆိုတာ ငါနဲ့ မထိုက်တန်တဲ့ အရာ,love
တကယ်ကြီး ဖြစ်သွားတာလား... မယုံနိုင်ဘူး,suprise
ငါ့ဘဝထဲက ထွက်သွား,anger
အားလုံးအဆင်ပြေလို့ ပျော်တယ်,joy
ပိုက်ဆံ ပြတ်လပ်မှာကို ကြောက်တယ်,fear
မျှော်လင့်ခြင်းရဲ့ နောက်ဆက်တွဲက နာကျင်မှု,sadness
ငါ အခု ဒေါသထွက်နေတယ်,anger
