emotion_class,cleaned_text
Joy,ပန်း ခြံ ထဲ မှာ လှ ပ တဲ့ နေ့ လေး တစ် နေ့ ကို ပျော် ရွှင် စွာ ဖြတ် သန်း နေ ပါ တယ် ။
Anger,ဒီ မ နက် လမ်း အ ရမ်း ပိတ် တယ် ။
Joy,အ ရမ်း ကောင်း တဲ့ လေ့ ကျင့် ခန်း တစ် ခု ခု ပဲ ပြီး သွား ပြီ ! 💪
Joy,လာ မယ့် စ နေ ၊ တ နင်္ ဂ နွေ အ ပန်း ဖြေ ခ ရီး အ တွက် စိတ် လှုပ် ရှား နေ ပါ တယ် ။
Sadness,ဒီ ည ည စာ အ တွက် ဟင်း ချက် နည်း အ သစ် တစ် ခု စမ်း သပ် ချက် ပြုတ် နေ ပါ တယ် ။
Joy,ဘ ဝ ရဲ့ သေး ငယ် တဲ့ အ ရာ လေး တွေ အ တွက် ကျေး ဇူး တင် မိ ပါ တယ် ။
Joy,မိုး ရွာ တဲ့ နေ့ တွေ က နွေး ထွေး တဲ့ စောင် တွေ နဲ့ ပူ ပူ နွေး နွေး ကို ကိုး သောက် ဖို့ တောင်း ဆို နေ သ လို ပါ ပဲ ။
Joy,အ သစ် ထွက် ရှိ တဲ့ ရုပ် ရှင် က ကြည့် ကို ကြည့် သင့် တဲ့ ဇာတ် ကား ပါ ။
Anger,Timeline မှာ နိုင် ငံ ရေး ဆွေး နွေး မှု တွေ ပူ လောင် နေ ပါ တယ် ။
Sadness,နွေ ရာ သီ ရဲ့ ခံ စား ချက် တွေ နဲ့ ကမ်း ခြေ နေ့ ရက် တွေ ကို လွမ်း နေ ပါ တယ် ။
Joy,ဘ လော့ဂ် ပို့စ် အ သစ် တစ် ခု ခု ပဲ တင် လိုက် တယ် ။ ဝင် ကြည့် လိုက် ပါ ဦး ။
Anger,ဒီ နေ့ နည်း နည်း နေ လို့ မ ကောင်း ဘူး ။
Joy,မြို့ ရဲ့ လျှို့ ဝှက် နေ ရာ လေး တွေ ကို စူး စမ်း ရှာ ဖွေ နေ ပါ တယ် ။
Joy,နှစ် သစ် ၊ ကျန်း မာ ရေး ပန်း တိုင် အ သစ် ! 💪
Sadness,နည်း ပ ညာ က ကျွန် တော် တို့ ရဲ့ နေ ထိုင် မှု ပုံ စံ ကို ပြောင်း လဲ နေ ပါ တယ် ။
Joy,အ တိတ် ကို ပြန် လည် သုံး သပ် ပြီး အ နာ ဂတ် ကို မျှော် ကြည့် နေ ပါ တယ် ။
Joy,ချစ် စ ရာ ကောင်း တဲ့ အ မွှေး ပွ သူ ငယ် ချင်း လေး တစ် ကောင် ခု ပဲ မွေး စား လိုက် ပြီ ! 🐾
Joy,သူ ငယ် ချင်း တွေ နဲ့ ညဉ့် နက် ဂိမ်း က စား ပွဲ ။
Sadness,AI ဆိုင် ရာ virtual conference တစ် ခု တက် ရောက် နေ ပါ တယ် ။
Anger,ဆောင်း ရာ သီ ရဲ့ စိတ် ဓာတ် ကျ မှု တွေ က ကျွန် တော့် ကို စိတ် ဓာတ် ကျ စေ တယ် ။
Joy,ကော် ဖီ သောက် ရင်း စာ အုပ် ကောင်း တစ် အုပ် ဖတ် ရှု ခံ စား နေ ပါ တယ် ။
Joy,Virtual reality လော က ကို စူး စမ်း ရှာ ဖွေ နေ ပါ တယ် ။
Joy,လုပ် စ ရာ စာ ရင်း ထဲ က အ လုပ် တွေ ကို တစ် ခု ပြီး တစ် ခု အ မှန် ခြစ် ပြီး အ ကျိုး ရှိ တဲ့ နေ့ တစ် နေ့ ။
