Text,Text-MM,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
 Enjoying a beautiful day at the park!              ,ပန်းခြံထဲမှာ လှပတဲ့နေ့လေးတစ်နေ့ကို ပျော်ရွှင်စွာဖြတ်သန်းနေပါတယ်။, Positive  ,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12
 Traffic was terrible this morning.                 ,ဒီမနက် လမ်းအရမ်းပိတ်တယ်။, Negative  ,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8
 Just finished an amazing workout! 💪               ,အရမ်းကောင်းတဲ့ လေ့ကျင့်ခန်းတစ်ခု ခုပဲပြီးသွားပြီ! 💪, Positive  ,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15
 Excited about the upcoming weekend getaway!        ,လာမယ့် စနေ၊ တနင်္ဂနွေ အပန်းဖြေခရီးအတွက် စိတ်လှုပ်ရှားနေပါတယ်။, Positive  ,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18
 Trying out a new recipe for dinner tonight.        ,ဒီည ညစာအတွက် ဟင်းချက်နည်းအသစ်တစ်ခု စမ်းသပ်ချက်ပြုတ်နေပါတယ်။, Neutral   ,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19
 Feeling grateful for the little things in life.    ,ဘဝရဲ့ သေးငယ်တဲ့အရာလေးတွေအတွက် ကျေးဇူးတင်မိပါတယ်။, Positive  ,2023-01-16 09:10:00, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9
 Rainy days call for cozy blankets and hot cocoa.   ,မိုးရွာတဲ့နေ့တွေက နွေးထွေးတဲ့စောင်တွေနဲ့ ပူပူနွေးနွေး ကိုကိုးသောက်ဖို့ တောင်းဆိုနေသလိုပါပဲ။, Positive  ,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14
 The new movie release is a must-watch!             ,အသစ်ထွက်ရှိတဲ့ ရုပ်ရှင်က ကြည့်ကိုကြည့်သင့်တဲ့ ဇာတ်ကားပါ။, Positive  ,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19
 Political discussions heating up on the timeline.  ,Timeline မှာ နိုင်ငံရေးဆွေးနွေးမှုတွေ ပူလောင်နေပါတယ်။, Negative  ,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8
 Missing summer vibes and beach days.               ,နွေရာသီရဲ့ ခံစားချက်တွေနဲ့ ကမ်းခြေနေ့ရက်တွေကို လွမ်းနေပါတယ်။, Neutral   ,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12
