emotion_class,cleaned_text,emotion_clean
fear,ချစ် ရ တဲ့ သူ တွေ ကို ဆုံး ရှုံး ရ မှာ ကို တွေး မိ တိုင်း မျက် ရည် ကျ တယ်,Fear
suprise,တစ် ခါ မှ မ ကြုံ ဖူး တဲ့ ထူး ခြား ဆန်း ပြား တဲ့ ခံ စား ချက် ကြီး က ရင် ထဲ ကို ဒိန်း ခ နဲ တိုး ဝင် လာ တယ်,Neutral
love,မင်း ရဲ့ နှ လုံး သား လေး ထဲ မှာ ငါ့ ကို နေ ရာ အ မြဲ ပေး ထား ပါ နော်,Love
sadness,ဆုံး ရှုံး သွား တဲ့ အ ချစ် ရဲ့ အ မှတ် တ ရ တွေ ပြန် ပေါ် လာ ချိန် မှာ ဝမ်း နည်း မှု ထဲ မှာ နစ် မြုပ် နေ ပါ တယ်,Sadness
joy,ချို့ ယွင်း ချက် တွေ ကို ပွေ့ ဖက် ရင်း ၊ မ ပြည့် စုံ မှု ထဲ မှာ လက် ခံ မှု ကို ရှာ ဖွေ တွေ့ ရှိ ခြင်း ၊ မိ မိ ကိုယ် ကို ချစ် ခြင်း ဆီ သို့ ခ ရီး စဉ် တစ် ခု,Joy
anger,ဒီ လောက် အ ရေး ကြီး နေ တာ ကို ဆော့ က စား နေ ကြ လို့ ဒေါ သ ထွက် မိ တယ်,Anger
sadness,ရှုပ် ထွေး မှု တွေ ကို ထုံ ကျင် နေ ခြင်း ၊ စိတ် ခံ စား မှု တွေ ကို သော့ ခတ် ထား ခြင်း ၊ အ တွင်း စိတ် လှုပ် ရှား မှု တွေ ကို ဖုံး ကွယ် ထား တဲ့ ခံ စား ချက် မဲ့ မျက် နှာ ဖုံး တစ် ခု,Sadness
suprise,မ ထင် မှတ် ဘဲ လူ ကြီး မင်း ဆီ က လက် ဆောင် ရ လို့ အံ့ သြ ဝမ်း သာ ဖြစ် ရ တယ် ၊,Neutral
fear,မှန် ထဲ မှာ ကိုယ့် ပုံ ရိပ် မ ဟုတ် တဲ့ အ ခြား အ ရာ တစ် ခု ကို မြင် လိုက် သ လို ပဲ,Fear
suprise,စည် ကား နေ တဲ့ ဈေး တစ် ခု ရဲ့ အ နှစ် သာ ရ ကို ဖမ်း ယူ နေ ခြင်း ၊ ဓာတ် ပုံ ဆ ရာ က အ ခိုက် အ တန့် တွေ ကို အ ချိန် ထဲ မှာ အေး ခဲ စေ ပြီး ၊ ဖ ရိမ် တိုင်း က ထူး ခြား ပြီး တက် ကြွ တဲ့ ပုံ ပြင် တစ် ပုဒ် ပြော ပြ နေ ခြင်း,Neutral
neutral,လတ် လတ် ဆတ် ဆတ် ဖုတ် ထား တဲ့ ပေါင် မုန့် ရဲ့ ရ နံ့ ကို ပွေ့ ဖက် ခြင်း ၊ အိမ် တွင်း စား ဖို မှူး က မုန့် ဖုတ် အ နု ပ ညာ ထဲ မှာ ပျော် ရွှင် မှု ကို ရှာ ဖွေ တွေ့ ရှိ ပြီး ၊ ချစ် ခင် ရ သူ တွေ အ တွက် အ ရ သာ ရှိ တဲ့ အ မှတ် တ ရ တွေ ကို ဖန် တီး ခြင်း,Neutral
sadness,ညဉ့် နက် လာ တာ နဲ့ အ မျှ အ ထီး ကျန် မှု က တိတ် တ ဆိတ် ဝင် ရောက် လာ တယ်,Sadness
fear,မီး ဖို ချောင် ထဲ မှာ တစ် ခု ခု လှုပ် ရှား သွား တာ မြင် လိုက် ရ တယ်,Fear
suprise,ဟာ ... ဒီ လို မျိုး ကြီး ဖြစ် သွား တာ တ ကယ့် ကို ရင် ခုန် စ ရာ ကောင်း လိုက် တာ နော်,Neutral
neutral,စိတ် ပန်း လူ ပန်း ဖြစ် ပြီး ဘယ် အ ရာ ကို မှ အ ကောင်း မ မြင် နိုင် တော့ တဲ့ နေ့ တစ် နေ့,Neutral
suprise,ကား က ရုတ် တ ရက် ဘ ရိတ် အုပ် လိုက် လို့ လန့် သွား တာ ရင် တောင် တုန် တယ် ၊,Neutral
neutral,သူ က ငါ့ ကို အ ရေး မ စိုက် သ လို နေ ပြ တော့ ရင် ထဲ မှာ အောင့် ခ နဲ ဖြစ် သွား တယ်,Neutral
sadness,ဝမ်း နည်း ပူ ဆွေး မှု ရဲ့ သံ စုံ တီး ဝိုင်း ထဲ မှာ ၊ မျက် ရည် တိုင်း က တေး သွား တစ် ခု ၊ ဝမ်း နည်း ဖွယ် သံ စဉ် တစ် ခု ကို ရေး စပ် နေ ခြင်း,Sadness
sadness,စ နေ နေ့ ည မှာ အ ထီး ကျန် မှု ခံ စား နေ ရ တယ် တစ် ခါ တ လေ အ ထီး ကျန် မှု က မျှော် လင့် ထား တာ ထက် ပို ပြင်း ထန် စွာ ထိ ခိုက် တတ် တယ်,Sadness
neutral,အိပ် မက် ဆိုး ကြီး မက် ပြီး လန့် နိုး လာ တာ နှ လုံး တွေ တ ဒိန်း ဒိန်း ခုန် နေ တုန်း ပဲ,Neutral
neutral,ဒီ နေ့ တော့ ရာ သီ ဥ တု က သာ ယာ လိုက် တာ အ ပြင် ထွက် ချင် စ ရာ ကြီး,Neutral
anger,သူ တစ် ပါး ကို မ လေး စား တဲ့ အ ပြု အ မူ တွေ က တ ကယ် ကို ရိုင်း စိုင်း တယ်,Anger
neutral,ကြိုး စား ခဲ့ သ လောက် ရ လဒ် ထွက် မ လာ တော့ စိတ် ထဲ မှာ တော် တော် လေး စိတ် ဓာတ် ကျ မိ တယ်,Neutral
suprise,မီး ပ လပ် က နေ မီး ပွင့် သွား တာ မျက် စိ ရှေ့ တင် ပဲ လန့် လိုက် တာ ၊,Neutral
sadness,ကွဲ ကြေ သွား တဲ့ အိပ် မက် တွေ ရဲ့ ဥ ယျာဉ် ထဲ မှာ ၊ ပွင့် ချပ် တွေ ကြွေ ကျ နေ တယ် ၊ ကွဲ ကြေ သွား တဲ့ မျှော် လင့် ချက် တွေ ရဲ့ တိတ် ဆိတ် တဲ့ သက် သေ,Sadness
