text,emotion_class
ပန်းခြံထဲမှာ လှပတဲ့နေ့လေးတစ်နေ့ကို ပျော်ရွှင်စွာဖြတ်သန်းနေပါတယ်,Joy
ဒီမနက် လမ်းအရမ်းပိတ်တယ်,Anger
အရမ်းကောင်းတဲ့ လေ့ကျင့်ခန်းတစ်ခု ခုပဲပြီးသွားပြီ! 💪,Joy
လာမယ့် စနေ၊ တနင်္ဂနွေ အပန်းဖြေခရီးအတွက် စိတ်လှုပ်ရှားနေပါတယ်,Joy
ဒီည ညစာအတွက် ဟင်းချက်နည်းအသစ်တစ်ခု စမ်းသပ်ချက်ပြုတ်နေပါတယ်,Sadness
ဘဝရဲ့ သေးငယ်တဲ့အရာလေးတွေအတွက် ကျေးဇူးတင်မိပါတယ်,Joy
မိုးရွာတဲ့နေ့တွေက နွေးထွေးတဲ့စောင်တွေနဲ့ ပူပူနွေးနွေး ကိုကိုးသောက်ဖို့ တောင်းဆိုနေသလိုပါပဲ,Joy
အသစ်ထွက်ရှိတဲ့ ရုပ်ရှင်က ကြည့်ကိုကြည့်သင့်တဲ့ ဇာတ်ကားပါ,Joy
Timeline မှာ နိုင်ငံရေးဆွေးနွေးမှုတွေ ပူလောင်နေပါတယ်,Anger
နွေရာသီရဲ့ ခံစားချက်တွေနဲ့ ကမ်းခြေနေ့ရက်တွေကို လွမ်းနေပါတယ်,Sadness
ဘလော့ဂ်ပို့စ်အသစ်တစ်ခု ခုပဲတင်လိုက်တယ် ဝင်ကြည့်လိုက်ပါဦး,Joy
ဒီနေ့ နည်းနည်းနေလို့မကောင်းဘူး,Anger
မြို့ရဲ့ လျှို့ဝှက်နေရာလေးတွေကို စူးစမ်းရှာဖွေနေပါတယ်,Joy
နှစ်သစ်၊ ကျန်းမာရေးပန်းတိုင်အသစ်! 💪,Joy
နည်းပညာက ကျွန်တော်တို့ရဲ့ နေထိုင်မှုပုံစံကို ပြောင်းလဲနေပါတယ်,Sadness
အတိတ်ကို ပြန်လည်သုံးသပ်ပြီး အနာဂတ်ကို မျှော်ကြည့်နေပါတယ်,Joy
ချစ်စရာကောင်းတဲ့ အမွှေးပွသူငယ်ချင်းလေးတစ်ကောင် ခုပဲမွေးစားလိုက်ပြီ! 🐾,Joy
သူငယ်ချင်းတွေနဲ့ ညဉ့်နက် ဂိမ်းကစားပွဲ,Joy
AI ဆိုင်ရာ virtual conference တစ်ခု တက်ရောက်နေပါတယ်,Sadness
ဆောင်းရာသီရဲ့ စိတ်ဓာတ်ကျမှုတွေက ကျွန်တော့်ကို စိတ်ဓာတ်ကျစေတယ်,Anger
ကော်ဖီသောက်ရင်း စာအုပ်ကောင်းတစ်အုပ် ဖတ်ရှုခံစားနေပါတယ်,Joy
Virtual reality လောကကို စူးစမ်းရှာဖွေနေပါတယ်,Joy
လုပ်စရာစာရင်းထဲက အလုပ်တွေကို တစ်ခုပြီးတစ်ခု အမှန်ခြစ်ပြီး အကျိုးရှိတဲ့နေ့တစ်နေ့,Joy
စိန်ခေါ်မှုရှိတဲ့ လေ့ကျင့်ခန်းတစ်ခု ခုပဲပြီးသွားပြီ,Joy
အလုပ်မှာ အရေးပါတဲ့ မှတ်တိုင်တစ်ခုကို အောင်ပွဲခံနေပါတယ်! 🎉,Joy
သူငယ်ချင်းတွေနဲ့ တနင်္ဂနွေနေ့လည်စာ,Joy
ကိုယ်ပိုင်တိုးတက်မှုအတွက် ဘာသာစကားအသစ်တစ်ခု လေ့လာနေပါတယ်,Joy
